Serial,sequence_ID,sequence_length,telo_density,Telomere_start,Telomere_end,Telomere_length,telo_density_mismatch,Telomere_start_mismatch,Telomere_end_mismatch,Telomere_length_mismatch
11,417cad16-d7f1-4520-8c7e-a2a383f065b3 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=75 start_time=2025-11-20T09:37:17.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=417cad16-d7f1-4520-8c7e-a2a383f065b3 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,61571,0.9207098163914248,92,9840,9749,0.9901830453011555,86,9864,9779
12,f9a6f49c-eba1-46bf-8235-a8c9cdcba9c4 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1728 start_time=2025-11-20T12:08:53.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=f9a6f49c-eba1-46bf-8235-a8c9cdcba9c4 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,59035,0.9677109974424553,93,6348,6256,0.9942510380070265,87,6348,6262
13,af6d5ecc-3485-4a35-b225-65c15243c264 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2047 start_time=2025-11-20T16:51:03.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=af6d5ecc-3485-4a35-b225-65c15243c264 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,38665,0.9685714285714285,89,2888,2800,0.9670114621190942,83,3659,3577
14,635bca2c-979c-459d-beae-22ce0ca789a5 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=577 start_time=2025-11-20T06:32:22.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=635bca2c-979c-459d-beae-22ce0ca789a5 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,21606,0.8789667896678967,112,2821,2710,0.9824368825466521,106,2838,2733
15,a9c1d8be-24d4-4025-b4cc-dada0e35ae19 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1804 start_time=2025-11-20T10:18:14.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=a9c1d8be-24d4-4025-b4cc-dada0e35ae19 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,45935,0.9378420092605584,91,7217,7127,0.9939716809196691,85,7217,7133
16,29ccbc7e-8d02-4865-95a6-a639f09373ee runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1611 start_time=2025-11-20T13:14:49.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=29ccbc7e-8d02-4865-95a6-a639f09373ee basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,42800,0.9060336300692384,93,3125,3033,0.9759501187648456,87,3454,3368
17,7462aaef-c6db-4db3-a3d2-22dbc0e66743 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2395 start_time=2025-11-20T17:09:31.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=7462aaef-c6db-4db3-a3d2-22dbc0e66743 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,8666,0.9269799967474386,90,6238,6149,0.9920389926888709,84,6238,6155
18,de18a878-ab88-4e18-b92e-628fe129e8cc runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1118 start_time=2025-11-20T07:18:57.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=de18a878-ab88-4e18-b92e-628fe129e8cc basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,56713,0.8959363957597173,88,5747,5660,0.9918971287651929,76,5752,5677
19,fa43e4e2-b863-468e-aed4-1a6332ddd086 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1982 start_time=2025-11-20T11:11:11.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=fa43e4e2-b863-468e-aed4-1a6332ddd086 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,1185,0.9990850869167429,90,1182,1093,0.9990900818926297,84,1182,1099
20,5595b546-7a56-455f-b637-98d1c631b6a0 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2429 start_time=2025-11-20T13:51:03.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=5595b546-7a56-455f-b637-98d1c631b6a0 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,2170,0.9995185363505056,89,2165,2077,0.9995210727969349,83,2170,2088
