Serial,sequence_ID,sequence_length,telo_density,Telomere_start,Telomere_end,Telomere_length,telo_density_mismatch,Telomere_start_mismatch,Telomere_end_mismatch,Telomere_length_mismatch
41,f13b894a-853f-450a-9e9e-da01094825b0 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2591 start_time=2025-11-21T08:19:55.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=f13b894a-853f-450a-9e9e-da01094825b0 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,10523,0.9721669980119284,97,5126,5030,0.9808510638297873,85,5724,5640
42,e53f3cc2-b1e2-41b4-843e-767b20eafe1b runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1867 start_time=2025-11-21T13:48:41.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=e53f3cc2-b1e2-41b4-843e-767b20eafe1b basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,6385,0.9110326566637246,85,5749,5665,0.9891113452757289,79,5772,5694
43,b4bd75f2-1bd5-4d7f-a7ad-c739a43ecfd9 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2134 start_time=2025-11-20T00:29:40.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=b4bd75f2-1bd5-4d7f-a7ad-c739a43ecfd9 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,25818,0.9467183337369823,99,8356,8258,0.9943133696309739,93,8357,8265
44,7c0dae46-d9ae-45ef-81db-a3494139f809 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1598 start_time=2025-11-20T21:31:03.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=7c0dae46-d9ae-45ef-81db-a3494139f809 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,9472,0.9759284731774416,86,5901,5816,0.9775437509679418,80,6536,6457
45,b503cf77-ddf1-483a-83a4-c06484df271c runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2359 start_time=2025-11-21T02:58:25.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=b503cf77-ddf1-483a-83a4-c06484df271c basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,5166,0.9700338327694539,91,4228,4138,0.9851674641148326,91,4270,4180
46,a4cb846e-1ecf-4312-9a04-eace829e0e0a runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1214 start_time=2025-11-21T08:23:48.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=a4cb846e-1ecf-4312-9a04-eace829e0e0a basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,11696,0.9420134489815808,94,10354,10261,0.9814024100958345,88,10626,10539
47,431f22e5-47c2-457e-94c9-75846940205f runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2604 start_time=2025-11-21T15:55:42.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=431f22e5-47c2-457e-94c9-75846940205f basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,3654,0.9997190221972464,95,3653,3559,0.9997194950911641,89,3653,3565
48,ada8d0ed-5bd9-40c7-9b45-ec17656258ef runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2684 start_time=2025-11-19T23:58:52.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=ada8d0ed-5bd9-40c7-9b45-ec17656258ef basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,47302,0.8958162428219852,1366,5022,3657,0.9150390625,88,6231,6144
49,560816cf-7a78-4f6c-bf09-0a5b9581e3b6 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2538 start_time=2025-11-20T21:49:54.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=560816cf-7a78-4f6c-bf09-0a5b9581e3b6 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,6929,0.936135998162187,98,4450,4353,0.9840646147129448,92,4672,4581
50,b51f97e9-83eb-42bf-9218-6ce0b9e6683a runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=459 start_time=2025-11-21T03:08:21.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=b51f97e9-83eb-42bf-9218-6ce0b9e6683a basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,47187,0.9803759553811197,87,9768,9682,0.9927745664739884,81,9768,9688
51,18edd3d3-708c-467f-98af-a6c7dfc62bd2 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2794 start_time=2025-11-21T09:19:45.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=18edd3d3-708c-467f-98af-a6c7dfc62bd2 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,41446,0.748221906116643,94,4311,4218,0.9718276515151515,88,4311,4224
52,8f8355cb-22f2-4196-b2e9-a01327fb777c runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2568 start_time=2025-11-21T16:00:25.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=8f8355cb-22f2-4196-b2e9-a01327fb777c basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,1270,0.9889549702633815,91,1267,1177,0.9991546914623838,85,1267,1183
53,dea0a8f0-da84-4c96-870b-702e0e363ea4 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1720 start_time=2025-11-22T01:01:15.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=dea0a8f0-da84-4c96-870b-702e0e363ea4 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,45835,0.91171875,88,5207,5120,0.9732204561161023,82,5869,5788
54,3a092412-3ab1-42aa-a9fb-6460389cbf26 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2619 start_time=2025-11-20T22:37:21.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=3a092412-3ab1-42aa-a9fb-6460389cbf26 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,7709,0.9584266069715383,87,6340,6254,0.9862865947611711,81,6570,6490
55,fe9b861b-ebf3-4e36-90a9-ed3947dc8860 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2115 start_time=2025-11-21T03:12:48.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=fe9b861b-ebf3-4e36-90a9-ed3947dc8860 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,8797,0.9703164379725567,94,7235,7142,0.9888080581980974,88,7235,7148
56,dc4939f7-652f-4054-aca9-8f572841d288 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2392 start_time=2025-11-21T10:31:40.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=dc4939f7-652f-4054-aca9-8f572841d288 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,2456,0.9903314917127072,89,1536,1448,0.8807919123841618,83,2456,2374
57,b7ad424e-2efb-432b-83e1-7a702036c7f2 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=573 start_time=2025-11-21T16:07:01.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=b7ad424e-2efb-432b-83e1-7a702036c7f2 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,9672,0.9835095137420719,92,7186,7095,0.9946743138058173,86,7408,7323
58,65a0907a-4a88-442d-a386-b9aaecf2896a runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=99 start_time=2025-11-22T02:58:00.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=65a0907a-4a88-442d-a386-b9aaecf2896a basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,4841,0.8340943683409436,1004,2974,1971,0.9546218487394958,84,3058,2975
59,937fde8c-32ac-4187-a05f-09233ef32ca8 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1949 start_time=2025-11-20T22:58:08.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=937fde8c-32ac-4187-a05f-09233ef32ca8 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,13076,0.8846487424111015,99,4710,4612,0.977351164797239,93,4728,4636
60,b8e12fa3-baf0-49f0-b971-57ebb4649737 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=626 start_time=2025-11-21T03:52:44.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=b8e12fa3-baf0-49f0-b971-57ebb4649737 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,3088,0.8917716827279466,87,2784,2698,0.987891019172553,81,3053,2973
61,5a2a9847-5eb4-4b39-9c05-b3e4eb4b5e5f runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2557 start_time=2025-11-19T23:04:32.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=066dee9b-7f06-4a40-986b-86ede782ae19 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,24256,0.9136531365313653,92,4156,4065,0.9882121807465619,86,4157,4072
62,72baf3e1-4791-4e37-8d8a-a7bd147c7b23 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1868 start_time=2025-11-21T18:30:10.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=72baf3e1-4791-4e37-8d8a-a7bd147c7b23 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,18548,0.9682012339819649,92,4305,4214,0.9871692060946271,86,5073,4988
63,88af98ac-8d9a-4227-92dd-7d087da57cb9 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=214 start_time=2025-11-22T05:23:41.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=88af98ac-8d9a-4227-92dd-7d087da57cb9 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,7530,0.917981072555205,87,7060,6974,0.9894765992799779,81,7302,7222
64,428a2d5d-b4f0-4765-b1ff-181942e0e9f1 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2122 start_time=2025-11-20T23:47:03.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=428a2d5d-b4f0-4765-b1ff-181942e0e9f1 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,25206,0.9098399619711615,90,6400,6311,0.9849469180795436,90,6400,6311
65,6bef3dc9-4133-43ed-bc71-df8257292128 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=920 start_time=2025-11-21T04:31:51.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=6bef3dc9-4133-43ed-bc71-df8257292128 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,2343,0.9964476021314387,91,2342,2252,0.9995571302037201,85,2342,2258
66,61522ed7-bb5a-4adf-81fd-6d7e5663c74f runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2189 start_time=2025-11-21T12:34:45.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=61522ed7-bb5a-4adf-81fd-6d7e5663c74f basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,3342,0.999383096853794,98,3339,3242,0.999384236453202,92,3339,3248
67,ed58a50d-df35-4c96-af30-b1e3ab3a1e9e runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1150 start_time=2025-11-21T18:47:19.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=ed58a50d-df35-4c96-af30-b1e3ab3a1e9e basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,25387,0.905864958107442,87,6173,6087,0.9952380952380953,81,6380,6300
68,3771b1d8-04bf-4073-95cf-779fa29cd260 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=469 start_time=2025-11-21T00:28:08.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=3771b1d8-04bf-4073-95cf-779fa29cd260 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,3234,0.9996820349761526,85,3229,3145,0.9996831432192649,79,3234,3156
69,6ea1795e-bb2d-40ac-9d3d-e21afcc73198 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2546 start_time=2025-11-21T04:55:11.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=6ea1795e-bb2d-40ac-9d3d-e21afcc73198 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,6631,0.8934311670160727,90,2951,2862,0.9309079792112503,84,6625,6542
70,2a4eb1b2-c0fe-41b2-a3e7-aa8ce9c9f3e5 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=981 start_time=2025-11-21T12:37:29.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=2a4eb1b2-c0fe-41b2-a3e7-aa8ce9c9f3e5 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,112527,0.9690721649484536,97,2424,2328,0.9643718189124029,91,3823,3733
71,5f3349ed-5b99-4afa-9f39-dabaf42f82ff runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1696 start_time=2025-11-21T19:29:07.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=5f3349ed-5b99-4afa-9f39-dabaf42f82ff basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,1105,0.989010989010989,92,819,728,0.992,86,835,750
72,49460622-414d-4517-bbdb-cf92c4900e3c runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=364 start_time=2025-11-20T00:52:46.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=49460622-414d-4517-bbdb-cf92c4900e3c basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,10499,0.9039804469273743,98,5825,5728,0.9885675857431069,92,6039,5948
73,0d2cd113-f846-4007-a8fc-c38026cdec58 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2038 start_time=2025-11-20T03:51:27.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=0d2cd113-f846-4007-a8fc-c38026cdec58 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,67500,0.9725829725829725,80,4237,4158,0.9815327793167128,74,6571,6498
74,dd012d9e-5213-49ce-bab4-a80bed975c78 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1045 start_time=2025-11-20T01:47:25.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=dd012d9e-5213-49ce-bab4-a80bed975c78 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,13358,0.9208203178052424,93,7455,7363,0.9939773844641101,87,8222,8136
75,5357ec20-7316-4ad0-895c-35e16cbf78bf runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=920 start_time=2025-11-20T04:33:05.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=5357ec20-7316-4ad0-895c-35e16cbf78bf basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,6246,0.9806651198762568,96,3974,3879,0.9771678966789668,90,4425,4336
76,362922a9-1cd5-45e6-88cd-e6513bbab55d runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=511 start_time=2025-11-20T01:51:42.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=362922a9-1cd5-45e6-88cd-e6513bbab55d basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,9071,0.9534342258440046,94,5247,5154,0.997093023255814,88,5247,5160
77,de7eddf0-9472-4abd-b09b-fb8ccb2c579f runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1118 start_time=2025-11-20T01:52:28.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=de7eddf0-9472-4abd-b09b-fb8ccb2c579f basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,10239,0.9433719433719434,78,4739,4662,0.977903482411172,72,5728,5657
78,8a31ef5b-2126-4aac-8cf8-2e422ce2d697 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2877 start_time=2025-11-20T01:59:12.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=8a31ef5b-2126-4aac-8cf8-2e422ce2d697 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,20441,0.9264990328820116,82,6285,6204,0.979318380425284,82,6947,6866
79,481d47cf-ca77-4bd1-b39d-3775103e2fc0 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2587 start_time=2025-11-20T01:47:53.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=481d47cf-ca77-4bd1-b39d-3775103e2fc0 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,55518,0.9951109439638962,91,5408,5318,0.9852762598664238,85,6672,6588
80,5a0037be-3500-4ea6-bf53-9b0784157dac runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=179 start_time=2025-11-20T03:20:41.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=5a0037be-3500-4ea6-bf53-9b0784157dac basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,4293,0.9297177642501383,84,3697,3614,0.9955801104972376,78,3697,3620
81,7e19ad6c-1080-4cd9-89f4-6e5e17422738 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2685 start_time=2025-11-20T03:23:37.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=7e19ad6c-1080-4cd9-89f4-6e5e17422738 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,3417,0.9996992481203008,92,3416,3325,0.999699789852897,86,3416,3331
